"RG","TG","COEF","RE","absCOEF"
"IL12A_CD9","IL12A","CD9",0.592789005979595,0.00473231609572303,0.592789005979595
"EFEMP2_CD9","EFEMP2","CD9",4.16858403739669e-14,3.32783792168128e-16,4.16858403739669e-14
"CCL19_CD9","CCL19","CD9",0.466930346482516,0.00347689762916044,0.466930346482516
"SAA1_CD9","SAA1","CD9",0.66902236018831,0.0211991687534234,0.66902236018831
"AGTRAP_CD9","AGTRAP","CD9",0.0168227374368927,0.0028234241574265,0.0168227374368927
"ATP6AP2_CD9","ATP6AP2","CD9",-0.0160085581202744,0.00699981492174614,0.0160085581202744
"F8_CD9","F8","CD9",7.87378780407935e-05,5.50433872170066e-07,7.87378780407935e-05
"ROR1_CD9","ROR1","CD9",0.525327594997508,0.00382655547823834,0.525327594997508
"PLXNB2_CD9","PLXNB2","CD9",0.18204804320306,0.00345380157239095,0.18204804320306
"MFAP5_CD9","MFAP5","CD9",0.00364730728355781,3.33836659222653e-05,0.00364730728355781
"DPP4_CD9","DPP4","CD9",0.0983064619351749,0.00682623364417408,0.0983064619351749
"HLA-F_CD9","HLA-F","CD9",0.0149568777971179,0.0135747363651591,0.0149568777971179
"ANG_CD9","ANG","CD9",0.00218506540482096,1.59300269435409e-05,0.00218506540482096
"CRLF1_GIPR","CRLF1","GIPR",-1.04143220044792,0.00680593946836494,1.04143220044792
"UTS2_GIPR","UTS2","GIPR",0.00675092280830618,0.000334275716443263,0.00675092280830618
"TNFRSF1A_GIPR","TNFRSF1A","GIPR",0.000482075090534919,7.26493036903988e-05,0.000482075090534919
"PILRA_GIPR","PILRA","GIPR",-0.927069435078162,0.00701623464933488,0.927069435078162
"TNFSF8_GIPR","TNFSF8","GIPR",0.000559767329624656,9.33872601448225e-05,0.000559767329624656
"SPP1_GIPR","SPP1","GIPR",7.49496373379103e-05,1.72710046817098e-05,7.49496373379103e-05
"TNFSF10_GIPR","TNFSF10","GIPR",0.000119388899687582,3.38520829050281e-05,0.000119388899687582
"ACVR2A_GIPR","ACVR2A","GIPR",0.00644616653966264,0.000309197013584753,0.00644616653966264
"GRM4_GIPR","GRM4","GIPR",0.990385115513962,0.00792491202290209,0.990385115513962
"TLR4_GIPR","TLR4","GIPR",-3.66649520472759e-05,2.77487205635908e-07,3.66649520472759e-05
"XCL1_GIPR","XCL1","GIPR",7.1607001264578e-05,1.49899369075382e-05,7.1607001264578e-05
