"RG","TG","COEF","RE","absCOEF"
"CCL21_CX3CL1","CCL21","CX3CL1",0.107821043641935,0.00469069075006825,0.107821043641935
"NCAM1_CX3CL1","NCAM1","CX3CL1",0.567779276329589,0.00631928529567361,0.567779276329589
"ROBO4_CX3CL1","ROBO4","CX3CL1",0.0353321156432104,0.00157469173095592,0.0353321156432104
"DRAXIN_CX3CL1","DRAXIN","CX3CL1",0.0383854073216689,0.000558920348559689,0.0383854073216689
"NTNG1_CX3CL1","NTNG1","CX3CL1",0.761019358647251,0.00699657074189505,0.761019358647251
"IL17RE_CX3CL1","IL17RE","CX3CL1",0.0324929293149804,0.000531877185335206,0.0324929293149804
"RYK_CX3CL1","RYK","CX3CL1",0.00187788387751521,0.000135855964521258,0.00187788387751521
"SCGB3A2_CX3CL1","SCGB3A2","CX3CL1",0.00703830228529122,0.000828952399124859,0.00703830228529122
"PIGA_CX3CL1","PIGA","CX3CL1",0.0353175533731503,0.00266193623500369,0.0353175533731503
"SAA1_CX3CL1","SAA1","CX3CL1",0.0426832003306322,0.00191342880212747,0.0426832003306322
"CLCF1_CX3CL1","CLCF1","CX3CL1",0.0829299936250582,0.00340325736582275,0.0829299936250582
"NOTCH4_CX3CL1","NOTCH4","CX3CL1",0.0596579894301952,0.00210306692437368,0.0596579894301952
"LILRA4_CX3CL1","LILRA4","CX3CL1",0.0165759727852291,0.000877179920189546,0.0165759727852291
"SEMA3F_TNFRSF12A","SEMA3F","TNFRSF12A",0.683012188417061,0.00939506397906715,0.683012188417061
"IGF1_TNFRSF12A","IGF1","TNFRSF12A",0.0073021962058089,0.000737834252628592,0.0073021962058089
"LTBP1_TNFRSF12A","LTBP1","TNFRSF12A",-0.148390677067868,0.000653680706905977,0.148390677067868
"PLD1_TNFRSF12A","PLD1","TNFRSF12A",0.0256078788437391,0.00100227044382545,0.0256078788437391
"ICAM3_TNFRSF12A","ICAM3","TNFRSF12A",-0.00601019435709133,0.00177096802110199,0.00601019435709133
"CEACAM6_TNFRSF12A","CEACAM6","TNFRSF12A",0.695498540491278,0.00333480928366598,0.695498540491278
"DLL3_TNFRSF12A","DLL3","TNFRSF12A",-0.0544195629371206,0.000304238995941442,0.0544195629371206
"IL12RB1_TNFRSF12A","IL12RB1","TNFRSF12A",0.0568199238381064,0.00372646216033386,0.0568199238381064
"BMP7_TNFRSF12A","BMP7","TNFRSF12A",0.77717465882783,0.00506094612087996,0.77717465882783
"HTR2A_TNFRSF12A","HTR2A","TNFRSF12A",-8.90608950844738e-05,3.923251110302e-07,8.90608950844738e-05
"TRADD_TNFRSF12A","TRADD","TNFRSF12A",0.00734828422347874,0.00176064949301619,0.00734828422347874
"SFRP1_TNFRSF12A","SFRP1","TNFRSF12A",0.725298331586474,0.0079593301146459,0.725298331586474
"SLC17A7_TNFRSF12A","SLC17A7","TNFRSF12A",0.00927319162557602,0.00015070400401299,0.00927319162557602
"APLP1_TNFRSF12A","APLP1","TNFRSF12A",0.14944060228012,0.00191571849966651,0.14944060228012
"C5_TNFRSF12A","C5","TNFRSF12A",0.106236684474547,0.0024992126621692,0.106236684474547
"UNC5B_TNFRSF12A","UNC5B","TNFRSF12A",0.0565687955031867,0.00258666882636277,0.0565687955031867
"C1QBP_TNFRSF12A","C1QBP","TNFRSF12A",0.00282034237870004,0.00138922635188887,0.00282034237870004
"CD81_TNFRSF12A","CD81","TNFRSF12A",-0.0138980740656081,0.0159273179084604,0.0138980740656081
"CD69_TNFRSF12A","CD69","TNFRSF12A",0.0165251784262446,0.00428698176785193,0.0165251784262446
"VEGFA_TNFRSF12A","VEGFA","TNFRSF12A",0.0088393965443275,0.00435837145533699,0.0088393965443275
"GNAI2_TNFRSF12A","GNAI2","TNFRSF12A",-0.00287148381783742,0.00418360282024676,0.00287148381783742
"ITGA4_TNFRSF12A","ITGA4","TNFRSF12A",0.000631081358941015,8.31928645565124e-05,0.000631081358941015
"SDC1_TNFRSF12A","SDC1","TNFRSF12A",0.121306471249104,0.00211331758421535,0.121306471249104
"MFAP2_TNFRSF12A","MFAP2","TNFRSF12A",0.0830639578562359,0.00325127521374832,0.0830639578562359
"CD160_TNFRSF12A","CD160","TNFRSF12A",0.118766656276958,0.00241099522284131,0.118766656276958
"FLT3_TNFRSF12A","FLT3","TNFRSF12A",0.0050943516558759,0.000114662736229672,0.0050943516558759
"TRAF3_TNFRSF12A","TRAF3","TNFRSF12A",0.036795398340668,0.00482811424725581,0.036795398340668
"IL13RA1_TNFRSF12A","IL13RA1","TNFRSF12A",0.00421032175404902,0.0026116421974408,0.00421032175404902
"WNT2B_TNFRSF12A","WNT2B","TNFRSF12A",0.100113219255461,0.0020637955350754,0.100113219255461
"VTCN1_TNFRSF12A","VTCN1","TNFRSF12A",0.589994954836083,0.00278270899073963,0.589994954836083
"IL2RA_TNFRSF12A","IL2RA","TNFRSF12A",0.0057583815805391,0.000617136821397866,0.0057583815805391
"KLRC1_TNFRSF12A","KLRC1","TNFRSF12A",0.0984179358830536,0.00142626956435378,0.0984179358830536
"LAMC1_TNFRSF12A","LAMC1","TNFRSF12A",0.0122829649617512,0.000447846084734092,0.0122829649617512
"IL10_TNFRSF12A","IL10","TNFRSF12A",-0.00299322675388595,0.000301064937928826,0.00299322675388595
"ANGPTL2_TNFRSF12A","ANGPTL2","TNFRSF12A",0.617700219244983,0.00332049757537615,0.617700219244983
"CCL21_TNFRSF12A","CCL21","TNFRSF12A",0.0196395201724189,0.00085440571243659,0.0196395201724189
"CD72_TNFRSF12A","CD72","TNFRSF12A",0.0703649214720245,0.0108647258789803,0.0703649214720245
"ITGAV_TNFRSF12A","ITGAV","TNFRSF12A",0.00446093436833811,0.000934357289460515,0.00446093436833811
"MTTP_TNFRSF12A","MTTP","TNFRSF12A",-0.00379605183039514,2.12222762383361e-05,0.00379605183039514
"APP_TNFRSF12A","APP","TNFRSF12A",0.00295927510675842,0.0010081524847508,0.00295927510675842
"IL22RA1_TNFRSF12A","IL22RA1","TNFRSF12A",0.00110293408916268,5.20198449317064e-06,0.00110293408916268
"CCN1_TNFRSF12A","CCN1","TNFRSF12A",0.00586089161868832,0.000495771387422298,0.00586089161868832
"TSLP_TNFRSF12A","TSLP","TNFRSF12A",0.506557981432808,0.00226895699309718,0.506557981432808
"LRRC4C_TNFRSF12A","LRRC4C","TNFRSF12A",1.21545328341802e-14,5.4442163153638e-17,1.21545328341802e-14
"NCAM1_TNFRSF12A","NCAM1","TNFRSF12A",0.484628195145536,0.00539382812146578,0.484628195145536
"KLRF1_TNFRSF12A","KLRF1","TNFRSF12A",0.143031448907647,0.00148407234194369,0.143031448907647
"ITGB1_TNFRSF12A","ITGB1","TNFRSF12A",-0.000289387495332234,0.000186508552324911,0.000289387495332234
"CALM3_TNFRSF12A","CALM3","TNFRSF12A",-0.00393311824465143,0.00364268650315451,0.00393311824465143
"ICOSLG_TNFRSF12A","ICOSLG","TNFRSF12A",-0.0110980045151749,0.000890736171309926,0.0110980045151749
"AQP5_TNFRSF12A","AQP5","TNFRSF12A",0.885935083899659,0.0053114652026829,0.885935083899659
"DRAXIN_TNFRSF12A","DRAXIN","TNFRSF12A",0.0586858050547386,0.000854509380135825,0.0586858050547386
"FBLN2_TNFRSF12A","FBLN2","TNFRSF12A",0.784621323062561,0.00946632536730061,0.784621323062561
"IL17RE_TNFRSF12A","IL17RE","TNFRSF12A",0.0851575439201175,0.00139394495126081,0.0851575439201175
"ITGA2_TNFRSF12A","ITGA2","TNFRSF12A",0.669963493933635,0.00357978055471336,0.669963493933635
"GJB2_TNFRSF12A","GJB2","TNFRSF12A",0.051445495702922,0.00161065506883594,0.051445495702922
"ANGPTL4_TNFRSF12A","ANGPTL4","TNFRSF12A",0.0295222866154697,0.00444285799882982,0.0295222866154697
"KISS1_TNFRSF12A","KISS1","TNFRSF12A",0.474807248120398,0.00239494078111714,0.474807248120398
"FGG_TNFRSF12A","FGG","TNFRSF12A",0.598233012873913,0.00346280478698249,0.598233012873913
"LAMB2_TNFRSF12A","LAMB2","TNFRSF12A",0.0623470273099031,0.00539718300539575,0.0623470273099031
"OLR1_TNFRSF12A","OLR1","TNFRSF12A",0.0203830005650598,0.0201505151975003,0.0203830005650598
"TNFRSF10D_TNFRSF12A","TNFRSF10D","TNFRSF12A",-0.0122019167428131,0.000651768322031612,0.0122019167428131
"CSPG4_TNFRSF12A","CSPG4","TNFRSF12A",0.260101884793278,0.00253065405011177,0.260101884793278
"SLC6A19_TNFRSF12A","SLC6A19","TNFRSF12A",0.0010309441217066,6.71348788117251e-06,0.0010309441217066
"SCUBE2_TNFRSF12A","SCUBE2","TNFRSF12A",0.769837859011958,0.00835017046588806,0.769837859011958
"GAS1_TNFRSF12A","GAS1","TNFRSF12A",0.0728928825693936,0.00150501890508675,0.0728928825693936
"KCND2_TNFRSF12A","KCND2","TNFRSF12A",-0.417468242967514,0.00232871740594023,0.417468242967514
"SIGIRR_TNFRSF12A","SIGIRR","TNFRSF12A",0.0104754102742184,0.00339150768973629,0.0104754102742184
"DLK1_TNFRSF12A","DLK1","TNFRSF12A",-0.0318696923629801,0.000177775216625058,0.0318696923629801
"CLDN4_TNFRSF12A","CLDN4","TNFRSF12A",0.0939588642076189,0.00648053979978852,0.0939588642076189
"HMGB1_TNFRSF12A","HMGB1","TNFRSF12A",0.000536832770534521,0.000703483607547156,0.000536832770534521
"CD47_TNFRSF12A","CD47","TNFRSF12A",0.00932570458293238,0.00746652056023717,0.00932570458293238
"NMB_TNFRSF12A","NMB","TNFRSF12A",0.0195457178619664,0.00366814223913349,0.0195457178619664
"OCLN_TNFRSF12A","OCLN","TNFRSF12A",-6.46999792774117e-06,3.6171287806071e-08,6.46999792774117e-06
"ANG_TNFRSF12A","ANG","TNFRSF12A",0.0129556352761699,0.00164014579126291,0.0129556352761699
"AQP1_TNFRSF12A","AQP1","TNFRSF12A",0.0860437824366126,0.00479196433580344,0.0860437824366126
"TNFRSF6B_TNFRSF12A","TNFRSF6B","TNFRSF12A",0.0102741059930865,6.69047765268678e-05,0.0102741059930865
"DSC1_CCL26","DSC1","CCL26",0.969461444911665,0.0048799209048323,0.969461444911665
"ACKR2_CCL26","ACKR2","CCL26",4.5102810375397e-16,2.27031356814445e-18,4.5102810375397e-16
"ITGA2B_FARP2","ITGA2B","FARP2",0.658615266129215,0.00383457252326085,0.658615266129215
"ASIP_FARP2","ASIP","FARP2",0.605450087231431,0.00286886374383315,0.605450087231431
"CCL22_FARP2","CCL22","FARP2",0.212483691955929,0.0151343536544556,0.212483691955929
"IL7_FARP2","IL7","FARP2",0.247607310437577,0.00538448962837695,0.247607310437577
"TNFRSF10A_FARP2","TNFRSF10A","FARP2",0.0412195339343294,0.00313452223221721,0.0412195339343294
"GNAI2_FARP2","GNAI2","FARP2",0.00495241771683709,0.00721541545820153,0.00495241771683709
"SDC4_FARP2","SDC4","FARP2",0.0125260266337425,0.00390010650853912,0.0125260266337425
